session_date,dte,strike_label,symbol,status,strike,expiration,sim_outcome,bars_held,entry_qqq,exit_qqq,entry_opt,exit_opt,pnl_contract
2023-02-16,0,ATM,QQQ230216P00304000,no_bars,,,,,,,,,
2023-02-16,0,1OTM,QQQ230216P00303000,no_bars,,,,,,,,,
2023-02-16,0,1ITM,QQQ230216P00305000,no_bars,,,,,,,,,
2023-02-16,1,ATM,QQQ230217P00304000,no_bars,,,,,,,,,
2023-02-16,1,1OTM,QQQ230217P00303000,no_bars,,,,,,,,,
2023-02-16,1,1ITM,QQQ230217P00305000,no_bars,,,,,,,,,
2023-02-16,2,ATM,QQQ230220P00304000,no_bars,,,,,,,,,
2023-02-16,2,1OTM,QQQ230220P00303000,no_bars,,,,,,,,,
2023-02-16,2,1ITM,QQQ230220P00305000,no_bars,,,,,,,,,
2023-02-16,3,ATM,QQQ230221P00304000,no_bars,,,,,,,,,
2023-02-16,3,1OTM,QQQ230221P00303000,no_bars,,,,,,,,,
2023-02-16,3,1ITM,QQQ230221P00305000,no_bars,,,,,,,,,
2023-02-16,5,ATM,QQQ230223P00304000,no_bars,,,,,,,,,
2023-02-16,5,1OTM,QQQ230223P00303000,no_bars,,,,,,,,,
2023-02-16,5,1ITM,QQQ230223P00305000,no_bars,,,,,,,,,
2023-02-22,0,ATM,QQQ230222P00294000,no_bars,,,,,,,,,
2023-02-22,0,1OTM,QQQ230222P00293000,no_bars,,,,,,,,,
2023-02-22,0,1ITM,QQQ230222P00295000,no_bars,,,,,,,,,
2023-02-22,1,ATM,QQQ230223P00294000,no_bars,,,,,,,,,
2023-02-22,1,1OTM,QQQ230223P00293000,no_bars,,,,,,,,,
2023-02-22,1,1ITM,QQQ230223P00295000,no_bars,,,,,,,,,
2023-02-22,2,ATM,QQQ230224P00294000,no_bars,,,,,,,,,
2023-02-22,2,1OTM,QQQ230224P00293000,no_bars,,,,,,,,,
2023-02-22,2,1ITM,QQQ230224P00295000,no_bars,,,,,,,,,
2023-02-22,3,ATM,QQQ230227P00294000,no_bars,,,,,,,,,
2023-02-22,3,1OTM,QQQ230227P00293000,no_bars,,,,,,,,,
2023-02-22,3,1ITM,QQQ230227P00295000,no_bars,,,,,,,,,
2023-02-22,5,ATM,QQQ230301P00294000,no_bars,,,,,,,,,
2023-02-22,5,1OTM,QQQ230301P00293000,no_bars,,,,,,,,,
2023-02-22,5,1ITM,QQQ230301P00295000,no_bars,,,,,,,,,
2023-03-01,0,ATM,QQQ230301P00293000,no_bars,,,,,,,,,
2023-03-01,0,1OTM,QQQ230301P00292000,no_bars,,,,,,,,,
2023-03-01,0,1ITM,QQQ230301P00294000,no_bars,,,,,,,,,
2023-03-01,1,ATM,QQQ230302P00293000,no_bars,,,,,,,,,
2023-03-01,1,1OTM,QQQ230302P00292000,no_bars,,,,,,,,,
2023-03-01,1,1ITM,QQQ230302P00294000,no_bars,,,,,,,,,
2023-03-01,2,ATM,QQQ230303P00293000,no_bars,,,,,,,,,
2023-03-01,2,1OTM,QQQ230303P00292000,no_bars,,,,,,,,,
2023-03-01,2,1ITM,QQQ230303P00294000,no_bars,,,,,,,,,
2023-03-01,3,ATM,QQQ230306P00293000,no_bars,,,,,,,,,
2023-03-01,3,1OTM,QQQ230306P00292000,no_bars,,,,,,,,,
2023-03-01,3,1ITM,QQQ230306P00294000,no_bars,,,,,,,,,
2023-03-01,5,ATM,QQQ230308P00293000,no_bars,,,,,,,,,
2023-03-01,5,1OTM,QQQ230308P00292000,no_bars,,,,,,,,,
2023-03-01,5,1ITM,QQQ230308P00294000,no_bars,,,,,,,,,
2023-03-08,0,ATM,QQQ230308P00296000,no_bars,,,,,,,,,
2023-03-08,0,1OTM,QQQ230308P00295000,no_bars,,,,,,,,,
2023-03-08,0,1ITM,QQQ230308P00297000,no_bars,,,,,,,,,
2023-03-08,1,ATM,QQQ230309P00296000,no_bars,,,,,,,,,
2023-03-08,1,1OTM,QQQ230309P00295000,no_bars,,,,,,,,,
2023-03-08,1,1ITM,QQQ230309P00297000,no_bars,,,,,,,,,
2023-03-08,2,ATM,QQQ230310P00296000,no_bars,,,,,,,,,
2023-03-08,2,1OTM,QQQ230310P00295000,no_bars,,,,,,,,,
2023-03-08,2,1ITM,QQQ230310P00297000,no_bars,,,,,,,,,
2023-03-08,3,ATM,QQQ230313P00296000,no_bars,,,,,,,,,
2023-03-08,3,1OTM,QQQ230313P00295000,no_bars,,,,,,,,,
2023-03-08,3,1ITM,QQQ230313P00297000,no_bars,,,,,,,,,
2023-03-08,5,ATM,QQQ230315P00296000,no_bars,,,,,,,,,
2023-03-08,5,1OTM,QQQ230315P00295000,no_bars,,,,,,,,,
2023-03-08,5,1ITM,QQQ230315P00297000,no_bars,,,,,,,,,
2023-03-10,0,ATM,QQQ230310P00292000,no_bars,,,,,,,,,
2023-03-10,0,1OTM,QQQ230310P00291000,no_bars,,,,,,,,,
2023-03-10,0,1ITM,QQQ230310P00293000,no_bars,,,,,,,,,
2023-03-10,1,ATM,QQQ230313P00292000,no_bars,,,,,,,,,
2023-03-10,1,1OTM,QQQ230313P00291000,no_bars,,,,,,,,,
2023-03-10,1,1ITM,QQQ230313P00293000,no_bars,,,,,,,,,
2023-03-10,2,ATM,QQQ230314P00292000,no_bars,,,,,,,,,
2023-03-10,2,1OTM,QQQ230314P00291000,no_bars,,,,,,,,,
2023-03-10,2,1ITM,QQQ230314P00293000,no_bars,,,,,,,,,
2023-03-10,3,ATM,QQQ230315P00292000,no_bars,,,,,,,,,
2023-03-10,3,1OTM,QQQ230315P00291000,no_bars,,,,,,,,,
2023-03-10,3,1ITM,QQQ230315P00293000,no_bars,,,,,,,,,
2023-03-10,5,ATM,QQQ230317P00292000,no_bars,,,,,,,,,
2023-03-10,5,1OTM,QQQ230317P00291000,no_bars,,,,,,,,,
2023-03-10,5,1ITM,QQQ230317P00293000,no_bars,,,,,,,,,
2023-03-15,0,ATM,QQQ230315P00293000,no_bars,,,,,,,,,
2023-03-15,0,1OTM,QQQ230315P00292000,no_bars,,,,,,,,,
2023-03-15,0,1ITM,QQQ230315P00294000,no_bars,,,,,,,,,
2023-03-15,1,ATM,QQQ230316P00293000,no_bars,,,,,,,,,
2023-03-15,1,1OTM,QQQ230316P00292000,no_bars,,,,,,,,,
2023-03-15,1,1ITM,QQQ230316P00294000,no_bars,,,,,,,,,
2023-03-15,2,ATM,QQQ230317P00293000,no_bars,,,,,,,,,
2023-03-15,2,1OTM,QQQ230317P00292000,no_bars,,,,,,,,,
2023-03-15,2,1ITM,QQQ230317P00294000,no_bars,,,,,,,,,
2023-03-15,3,ATM,QQQ230320P00293000,no_bars,,,,,,,,,
2023-03-15,3,1OTM,QQQ230320P00292000,no_bars,,,,,,,,,
2023-03-15,3,1ITM,QQQ230320P00294000,no_bars,,,,,,,,,
2023-03-15,5,ATM,QQQ230322P00293000,no_bars,,,,,,,,,
2023-03-15,5,1OTM,QQQ230322P00292000,no_bars,,,,,,,,,
2023-03-15,5,1ITM,QQQ230322P00294000,no_bars,,,,,,,,,
2023-03-20,0,ATM,QQQ230320P00303000,no_bars,,,,,,,,,
2023-03-20,0,1OTM,QQQ230320P00302000,no_bars,,,,,,,,,
2023-03-20,0,1ITM,QQQ230320P00304000,no_bars,,,,,,,,,
2023-03-20,1,ATM,QQQ230321P00303000,no_bars,,,,,,,,,
2023-03-20,1,1OTM,QQQ230321P00302000,no_bars,,,,,,,,,
2023-03-20,1,1ITM,QQQ230321P00304000,no_bars,,,,,,,,,
2023-03-20,2,ATM,QQQ230322P00303000,no_bars,,,,,,,,,
2023-03-20,2,1OTM,QQQ230322P00302000,no_bars,,,,,,,,,
2023-03-20,2,1ITM,QQQ230322P00304000,no_bars,,,,,,,,,
2023-03-20,3,ATM,QQQ230323P00303000,no_bars,,,,,,,,,
2023-03-20,3,1OTM,QQQ230323P00302000,no_bars,,,,,,,,,
2023-03-20,3,1ITM,QQQ230323P00304000,no_bars,,,,,,,,,
2023-03-20,5,ATM,QQQ230327P00303000,no_bars,,,,,,,,,
2023-03-20,5,1OTM,QQQ230327P00302000,no_bars,,,,,,,,,
2023-03-20,5,1ITM,QQQ230327P00304000,no_bars,,,,,,,,,
2023-03-24,0,ATM,QQQ230324P00307000,no_bars,,,,,,,,,
2023-03-24,0,1OTM,QQQ230324P00306000,no_bars,,,,,,,,,
2023-03-24,0,1ITM,QQQ230324P00308000,no_bars,,,,,,,,,
2023-03-24,1,ATM,QQQ230327P00307000,no_bars,,,,,,,,,
2023-03-24,1,1OTM,QQQ230327P00306000,no_bars,,,,,,,,,
2023-03-24,1,1ITM,QQQ230327P00308000,no_bars,,,,,,,,,
2023-03-24,2,ATM,QQQ230328P00307000,no_bars,,,,,,,,,
2023-03-24,2,1OTM,QQQ230328P00306000,no_bars,,,,,,,,,
2023-03-24,2,1ITM,QQQ230328P00308000,no_bars,,,,,,,,,
2023-03-24,3,ATM,QQQ230329P00307000,no_bars,,,,,,,,,
2023-03-24,3,1OTM,QQQ230329P00306000,no_bars,,,,,,,,,
2023-03-24,3,1ITM,QQQ230329P00308000,no_bars,,,,,,,,,
2023-03-24,5,ATM,QQQ230331P00307000,no_bars,,,,,,,,,
2023-03-24,5,1OTM,QQQ230331P00306000,no_bars,,,,,,,,,
2023-03-24,5,1ITM,QQQ230331P00308000,no_bars,,,,,,,,,
2023-03-28,0,ATM,QQQ230328P00308000,no_bars,,,,,,,,,
2023-03-28,0,1OTM,QQQ230328P00307000,no_bars,,,,,,,,,
2023-03-28,0,1ITM,QQQ230328P00309000,no_bars,,,,,,,,,
2023-03-28,1,ATM,QQQ230329P00308000,no_bars,,,,,,,,,
2023-03-28,1,1OTM,QQQ230329P00307000,no_bars,,,,,,,,,
2023-03-28,1,1ITM,QQQ230329P00309000,no_bars,,,,,,,,,
2023-03-28,2,ATM,QQQ230330P00308000,no_bars,,,,,,,,,
2023-03-28,2,1OTM,QQQ230330P00307000,no_bars,,,,,,,,,
2023-03-28,2,1ITM,QQQ230330P00309000,no_bars,,,,,,,,,
2023-03-28,3,ATM,QQQ230331P00308000,no_bars,,,,,,,,,
2023-03-28,3,1OTM,QQQ230331P00307000,no_bars,,,,,,,,,
2023-03-28,3,1ITM,QQQ230331P00309000,no_bars,,,,,,,,,
2023-03-28,5,ATM,QQQ230404P00308000,no_bars,,,,,,,,,
2023-03-28,5,1OTM,QQQ230404P00307000,no_bars,,,,,,,,,
2023-03-28,5,1ITM,QQQ230404P00309000,no_bars,,,,,,,,,
2023-04-05,0,ATM,QQQ230405P00318000,no_bars,,,,,,,,,
2023-04-05,0,1OTM,QQQ230405P00317000,no_bars,,,,,,,,,
2023-04-05,0,1ITM,QQQ230405P00319000,no_bars,,,,,,,,,
2023-04-05,1,ATM,QQQ230406P00318000,no_bars,,,,,,,,,
2023-04-05,1,1OTM,QQQ230406P00317000,no_bars,,,,,,,,,
2023-04-05,1,1ITM,QQQ230406P00319000,no_bars,,,,,,,,,
2023-04-05,2,ATM,QQQ230407P00318000,no_bars,,,,,,,,,
2023-04-05,2,1OTM,QQQ230407P00317000,no_bars,,,,,,,,,
2023-04-05,2,1ITM,QQQ230407P00319000,no_bars,,,,,,,,,
2023-04-05,3,ATM,QQQ230410P00318000,no_bars,,,,,,,,,
2023-04-05,3,1OTM,QQQ230410P00317000,no_bars,,,,,,,,,
2023-04-05,3,1ITM,QQQ230410P00319000,no_bars,,,,,,,,,
2023-04-05,5,ATM,QQQ230412P00318000,no_bars,,,,,,,,,
2023-04-05,5,1OTM,QQQ230412P00317000,no_bars,,,,,,,,,
2023-04-05,5,1ITM,QQQ230412P00319000,no_bars,,,,,,,,,
2023-04-06,0,ATM,QQQ230406P00314000,no_bars,,,,,,,,,
2023-04-06,0,1OTM,QQQ230406P00313000,no_bars,,,,,,,,,
2023-04-06,0,1ITM,QQQ230406P00315000,no_bars,,,,,,,,,
2023-04-06,1,ATM,QQQ230407P00314000,no_bars,,,,,,,,,
2023-04-06,1,1OTM,QQQ230407P00313000,no_bars,,,,,,,,,
2023-04-06,1,1ITM,QQQ230407P00315000,no_bars,,,,,,,,,
2023-04-06,2,ATM,QQQ230410P00314000,no_bars,,,,,,,,,
2023-04-06,2,1OTM,QQQ230410P00313000,no_bars,,,,,,,,,
2023-04-06,2,1ITM,QQQ230410P00315000,no_bars,,,,,,,,,
2023-04-06,3,ATM,QQQ230411P00314000,no_bars,,,,,,,,,
2023-04-06,3,1OTM,QQQ230411P00313000,no_bars,,,,,,,,,
2023-04-06,3,1ITM,QQQ230411P00315000,no_bars,,,,,,,,,
2023-04-06,5,ATM,QQQ230413P00314000,no_bars,,,,,,,,,
2023-04-06,5,1OTM,QQQ230413P00313000,no_bars,,,,,,,,,
2023-04-06,5,1ITM,QQQ230413P00315000,no_bars,,,,,,,,,
2023-04-12,0,ATM,QQQ230412P00315000,no_bars,,,,,,,,,
2023-04-12,0,1OTM,QQQ230412P00314000,no_bars,,,,,,,,,
2023-04-12,0,1ITM,QQQ230412P00316000,no_bars,,,,,,,,,
2023-04-12,1,ATM,QQQ230413P00315000,no_bars,,,,,,,,,
2023-04-12,1,1OTM,QQQ230413P00314000,no_bars,,,,,,,,,
2023-04-12,1,1ITM,QQQ230413P00316000,no_bars,,,,,,,,,
2023-04-12,2,ATM,QQQ230414P00315000,no_bars,,,,,,,,,
2023-04-12,2,1OTM,QQQ230414P00314000,no_bars,,,,,,,,,
2023-04-12,2,1ITM,QQQ230414P00316000,no_bars,,,,,,,,,
2023-04-12,3,ATM,QQQ230417P00315000,no_bars,,,,,,,,,
2023-04-12,3,1OTM,QQQ230417P00314000,no_bars,,,,,,,,,
2023-04-12,3,1ITM,QQQ230417P00316000,no_bars,,,,,,,,,
2023-04-12,5,ATM,QQQ230419P00315000,no_bars,,,,,,,,,
2023-04-12,5,1OTM,QQQ230419P00314000,no_bars,,,,,,,,,
2023-04-12,5,1ITM,QQQ230419P00316000,no_bars,,,,,,,,,
2023-04-21,0,ATM,QQQ230421P00315000,no_bars,,,,,,,,,
2023-04-21,0,1OTM,QQQ230421P00314000,no_bars,,,,,,,,,
2023-04-21,0,1ITM,QQQ230421P00316000,no_bars,,,,,,,,,
2023-04-21,1,ATM,QQQ230424P00315000,no_bars,,,,,,,,,
2023-04-21,1,1OTM,QQQ230424P00314000,no_bars,,,,,,,,,
2023-04-21,1,1ITM,QQQ230424P00316000,no_bars,,,,,,,,,
2023-04-21,2,ATM,QQQ230425P00315000,no_bars,,,,,,,,,
2023-04-21,2,1OTM,QQQ230425P00314000,no_bars,,,,,,,,,
2023-04-21,2,1ITM,QQQ230425P00316000,no_bars,,,,,,,,,
2023-04-21,3,ATM,QQQ230426P00315000,no_bars,,,,,,,,,
2023-04-21,3,1OTM,QQQ230426P00314000,no_bars,,,,,,,,,
2023-04-21,3,1ITM,QQQ230426P00316000,no_bars,,,,,,,,,
2023-04-21,5,ATM,QQQ230428P00315000,no_bars,,,,,,,,,
2023-04-21,5,1OTM,QQQ230428P00314000,no_bars,,,,,,,,,
2023-04-21,5,1ITM,QQQ230428P00316000,no_bars,,,,,,,,,
2023-04-25,0,ATM,QQQ230425P00314000,no_bars,,,,,,,,,
2023-04-25,0,1OTM,QQQ230425P00313000,no_bars,,,,,,,,,
2023-04-25,0,1ITM,QQQ230425P00315000,no_bars,,,,,,,,,
2023-04-25,1,ATM,QQQ230426P00314000,no_bars,,,,,,,,,
2023-04-25,1,1OTM,QQQ230426P00313000,no_bars,,,,,,,,,
2023-04-25,1,1ITM,QQQ230426P00315000,no_bars,,,,,,,,,
2023-04-25,2,ATM,QQQ230427P00314000,no_bars,,,,,,,,,
2023-04-25,2,1OTM,QQQ230427P00313000,no_bars,,,,,,,,,
2023-04-25,2,1ITM,QQQ230427P00315000,no_bars,,,,,,,,,
2023-04-25,3,ATM,QQQ230428P00314000,no_bars,,,,,,,,,
2023-04-25,3,1OTM,QQQ230428P00313000,no_bars,,,,,,,,,
2023-04-25,3,1ITM,QQQ230428P00315000,no_bars,,,,,,,,,
2023-04-25,5,ATM,QQQ230502P00314000,no_bars,,,,,,,,,
2023-04-25,5,1OTM,QQQ230502P00313000,no_bars,,,,,,,,,
2023-04-25,5,1ITM,QQQ230502P00315000,no_bars,,,,,,,,,
2023-05-02,0,ATM,QQQ230502P00321000,no_bars,,,,,,,,,
2023-05-02,0,1OTM,QQQ230502P00320000,no_bars,,,,,,,,,
2023-05-02,0,1ITM,QQQ230502P00322000,no_bars,,,,,,,,,
2023-05-02,1,ATM,QQQ230503P00321000,no_bars,,,,,,,,,
2023-05-02,1,1OTM,QQQ230503P00320000,no_bars,,,,,,,,,
2023-05-02,1,1ITM,QQQ230503P00322000,no_bars,,,,,,,,,
2023-05-02,2,ATM,QQQ230504P00321000,no_bars,,,,,,,,,
2023-05-02,2,1OTM,QQQ230504P00320000,no_bars,,,,,,,,,
2023-05-02,2,1ITM,QQQ230504P00322000,no_bars,,,,,,,,,
2023-05-02,3,ATM,QQQ230505P00321000,no_bars,,,,,,,,,
2023-05-02,3,1OTM,QQQ230505P00320000,no_bars,,,,,,,,,
2023-05-02,3,1ITM,QQQ230505P00322000,no_bars,,,,,,,,,
2023-05-02,5,ATM,QQQ230509P00321000,no_bars,,,,,,,,,
2023-05-02,5,1OTM,QQQ230509P00320000,no_bars,,,,,,,,,
2023-05-02,5,1ITM,QQQ230509P00322000,no_bars,,,,,,,,,
2023-06-06,0,ATM,QQQ230606P00354000,no_bars,,,,,,,,,
2023-06-06,0,1OTM,QQQ230606P00353000,no_bars,,,,,,,,,
2023-06-06,0,1ITM,QQQ230606P00355000,no_bars,,,,,,,,,
2023-06-06,1,ATM,QQQ230607P00354000,no_bars,,,,,,,,,
2023-06-06,1,1OTM,QQQ230607P00353000,no_bars,,,,,,,,,
2023-06-06,1,1ITM,QQQ230607P00355000,no_bars,,,,,,,,,
2023-06-06,2,ATM,QQQ230608P00354000,no_bars,,,,,,,,,
2023-06-06,2,1OTM,QQQ230608P00353000,no_bars,,,,,,,,,
2023-06-06,2,1ITM,QQQ230608P00355000,no_bars,,,,,,,,,
2023-06-06,3,ATM,QQQ230609P00354000,no_bars,,,,,,,,,
2023-06-06,3,1OTM,QQQ230609P00353000,no_bars,,,,,,,,,
2023-06-06,3,1ITM,QQQ230609P00355000,no_bars,,,,,,,,,
2023-06-06,5,ATM,QQQ230613P00354000,no_bars,,,,,,,,,
2023-06-06,5,1OTM,QQQ230613P00353000,no_bars,,,,,,,,,
2023-06-06,5,1ITM,QQQ230613P00355000,no_bars,,,,,,,,,
2023-06-07,0,ATM,QQQ230607P00353000,no_bars,,,,,,,,,
2023-06-07,0,1OTM,QQQ230607P00352000,no_bars,,,,,,,,,
2023-06-07,0,1ITM,QQQ230607P00354000,no_bars,,,,,,,,,
2023-06-07,1,ATM,QQQ230608P00353000,no_bars,,,,,,,,,
2023-06-07,1,1OTM,QQQ230608P00352000,no_bars,,,,,,,,,
2023-06-07,1,1ITM,QQQ230608P00354000,no_bars,,,,,,,,,
2023-06-07,2,ATM,QQQ230609P00353000,no_bars,,,,,,,,,
2023-06-07,2,1OTM,QQQ230609P00352000,no_bars,,,,,,,,,
2023-06-07,2,1ITM,QQQ230609P00354000,no_bars,,,,,,,,,
2023-06-07,3,ATM,QQQ230612P00353000,no_bars,,,,,,,,,
2023-06-07,3,1OTM,QQQ230612P00352000,no_bars,,,,,,,,,
2023-06-07,3,1ITM,QQQ230612P00354000,no_bars,,,,,,,,,
2023-06-07,5,ATM,QQQ230614P00353000,no_bars,,,,,,,,,
2023-06-07,5,1OTM,QQQ230614P00352000,no_bars,,,,,,,,,
2023-06-07,5,1ITM,QQQ230614P00354000,no_bars,,,,,,,,,
2023-06-21,0,ATM,QQQ230621P00364000,no_bars,,,,,,,,,
2023-06-21,0,1OTM,QQQ230621P00363000,no_bars,,,,,,,,,
2023-06-21,0,1ITM,QQQ230621P00365000,no_bars,,,,,,,,,
2023-06-21,1,ATM,QQQ230622P00364000,no_bars,,,,,,,,,
2023-06-21,1,1OTM,QQQ230622P00363000,no_bars,,,,,,,,,
2023-06-21,1,1ITM,QQQ230622P00365000,no_bars,,,,,,,,,
2023-06-21,2,ATM,QQQ230623P00364000,no_bars,,,,,,,,,
2023-06-21,2,1OTM,QQQ230623P00363000,no_bars,,,,,,,,,
2023-06-21,2,1ITM,QQQ230623P00365000,no_bars,,,,,,,,,
2023-06-21,3,ATM,QQQ230626P00364000,no_bars,,,,,,,,,
2023-06-21,3,1OTM,QQQ230626P00363000,no_bars,,,,,,,,,
2023-06-21,3,1ITM,QQQ230626P00365000,no_bars,,,,,,,,,
2023-06-21,5,ATM,QQQ230628P00364000,no_bars,,,,,,,,,
2023-06-21,5,1OTM,QQQ230628P00363000,no_bars,,,,,,,,,
2023-06-21,5,1ITM,QQQ230628P00365000,no_bars,,,,,,,,,
2023-07-24,0,ATM,QQQ230724P00375000,no_bars,,,,,,,,,
2023-07-24,0,1OTM,QQQ230724P00374000,no_bars,,,,,,,,,
2023-07-24,0,1ITM,QQQ230724P00376000,no_bars,,,,,,,,,
2023-07-24,1,ATM,QQQ230725P00375000,no_bars,,,,,,,,,
2023-07-24,1,1OTM,QQQ230725P00374000,no_bars,,,,,,,,,
2023-07-24,1,1ITM,QQQ230725P00376000,no_bars,,,,,,,,,
2023-07-24,2,ATM,QQQ230726P00375000,no_bars,,,,,,,,,
2023-07-24,2,1OTM,QQQ230726P00374000,no_bars,,,,,,,,,
2023-07-24,2,1ITM,QQQ230726P00376000,no_bars,,,,,,,,,
2023-07-24,3,ATM,QQQ230727P00375000,no_bars,,,,,,,,,
2023-07-24,3,1OTM,QQQ230727P00374000,no_bars,,,,,,,,,
2023-07-24,3,1ITM,QQQ230727P00376000,no_bars,,,,,,,,,
2023-07-24,5,ATM,QQQ230731P00375000,no_bars,,,,,,,,,
2023-07-24,5,1OTM,QQQ230731P00374000,no_bars,,,,,,,,,
2023-07-24,5,1ITM,QQQ230731P00376000,no_bars,,,,,,,,,
2023-07-26,0,ATM,QQQ230726P00377000,no_bars,,,,,,,,,
2023-07-26,0,1OTM,QQQ230726P00376000,no_bars,,,,,,,,,
2023-07-26,0,1ITM,QQQ230726P00378000,no_bars,,,,,,,,,
2023-07-26,1,ATM,QQQ230727P00377000,no_bars,,,,,,,,,
2023-07-26,1,1OTM,QQQ230727P00376000,no_bars,,,,,,,,,
2023-07-26,1,1ITM,QQQ230727P00378000,no_bars,,,,,,,,,
2023-07-26,2,ATM,QQQ230728P00377000,no_bars,,,,,,,,,
2023-07-26,2,1OTM,QQQ230728P00376000,no_bars,,,,,,,,,
2023-07-26,2,1ITM,QQQ230728P00378000,no_bars,,,,,,,,,
2023-07-26,3,ATM,QQQ230731P00377000,no_bars,,,,,,,,,
2023-07-26,3,1OTM,QQQ230731P00376000,no_bars,,,,,,,,,
2023-07-26,3,1ITM,QQQ230731P00378000,no_bars,,,,,,,,,
2023-07-26,5,ATM,QQQ230802P00377000,no_bars,,,,,,,,,
2023-07-26,5,1OTM,QQQ230802P00376000,no_bars,,,,,,,,,
2023-07-26,5,1ITM,QQQ230802P00378000,no_bars,,,,,,,,,
2023-08-08,0,ATM,QQQ230808P00371000,no_bars,,,,,,,,,
2023-08-08,0,1OTM,QQQ230808P00370000,no_bars,,,,,,,,,
2023-08-08,0,1ITM,QQQ230808P00372000,no_bars,,,,,,,,,
2023-08-08,1,ATM,QQQ230809P00371000,no_bars,,,,,,,,,
2023-08-08,1,1OTM,QQQ230809P00370000,no_bars,,,,,,,,,
2023-08-08,1,1ITM,QQQ230809P00372000,no_bars,,,,,,,,,
2023-08-08,2,ATM,QQQ230810P00371000,no_bars,,,,,,,,,
2023-08-08,2,1OTM,QQQ230810P00370000,no_bars,,,,,,,,,
2023-08-08,2,1ITM,QQQ230810P00372000,no_bars,,,,,,,,,
2023-08-08,3,ATM,QQQ230811P00371000,no_bars,,,,,,,,,
2023-08-08,3,1OTM,QQQ230811P00370000,no_bars,,,,,,,,,
2023-08-08,3,1ITM,QQQ230811P00372000,no_bars,,,,,,,,,
2023-08-08,5,ATM,QQQ230815P00371000,no_bars,,,,,,,,,
